description,keywords,genre,year,name,director,id
"Mientras la reaparición de 4400 personas desaparecidas en un solo día confunde a la comunidad mundial, los agentes federales que trabajan en el caso descubren poco a poco las formas en que las víctimas han cambiado.","años 2000, black man white woman marriage, relación entre hombre negro y mujer blanca, black man white woman kiss, black man white woman romance","drama, misterio, ciencia ficción",2005.0,Los 4400,,26
"Una chica blanca del medio oeste se muda a Chicago, donde su nuevo novio es un adolescente negro del South Side con un pasado rudo y semi-criminal.","romance interracial, relación interracial, dance movie, black man white woman romance, black man white woman sex","drama, música, romance",2001.0,Espera al último baile,Thomas Carter,27
"En la Gran Bretaña de 1860, un niño inventor se encuentra atrapado en medio de un conflicto mortal por un avance revolucionario en la energía del vapor.","year 1866, manchester, Inglaterra, steampunk, organization","animación, acción, aventura",2005.0,Steamboy,Katsuhiro Ôtomo,28
"Un agente del multiverso se lanza a la caza de versiones alternativas de sí mismo, haciéndose más fuerte con cada muerte. Solo la última versión de sí mismo, un policía, puede detener su cruzada antes de que se convierta en ""El único","criminal, convicted criminal, law enforcement officer, multiverse agent, running from police","acción, ciencia ficción, suspense",2002.0,El único,James Wong,29
"Cuando el malvado mago Gargamel persigue a los pequeños pitufos azules fuera de su aldea, estos llegan desde su mundo mágico a la ciudad de Nueva York.","based on comic book, taxi, vela, manta, cárcel","animación, aventura, comedia",2011.0,Los pitufos,Raja Gosnell,30
Las aventuras diarias de unos pingüinos que viven en el zoológico de Central Park de Nueva York.,"animal antropomorfo, based on film, 20th television, animación por ordenador, dreamworks","animación, corto, acción",2011.0,Los pingüinos de Madagascar,,31
"Una unidad secreta llamada Black Cell, liderada por Gabriel Shear, requiere fondos para financiar su guerra contra el terrorismo. Gabriel enlista al hacker convicto Stanley Jobson para que lo ayude.","ordenador, oral sex, fellatio, bad guy wins, terrorismo","acción, crimen, suspense",2001.0,Operación Swordfish,Dominic Sena,32
Una escritora compra una villa en la Toscana con la esperanza de dar un giro a su vida.,"villa, writer, libro, vacaciones, author","comedia, drama, romance",2004.0,Bajo el sol de la Toscana,Audrey Wells,33
"Cuando una bella desconocida lleva al hacker Neo a un inframundo prohibido, descubre la impactante verdad: la vida que conoce es un elaborado engaño de una ciberinteligencia malvada.","artificial reality, war with machines, simulated reality, distopia, post-apocalíptico","acción, ciencia ficción",1999.0,Matrix,Lana Wachowski,34
"Un grupo de secuestradores fuertemente armados aborda un lujoso transatlántico para saquearlo, solo para luchar contra una serie de criaturas marinas de gran tamaño, con tentáculos y devoradoras de hombres, que ya habían invadido el ","barco, de criaturas, oceano, hijacker, tentáculo","acción, aventura, terror",1998.0,Deep Rising: El misterio de las profundidades,Stephen Sommers,35
Un detective que odia a los dibus debe defender al conejo animado más popular cuando este es acusado de un crimen que jura no haber cometido.,"roger rabbit, private detective, anthropomorphic rabbit, jessica rabbit character, conejo","animación, aventura, comedia",1988.0,¿Quién engañó a Roger Rabbit?,Robert Zemeckis,36
"Un agente americano, bajo falsas sospechas de deslealtad, debe descubrir y desenmascarar al verdadero espía sin la ayuda de su organización.","tren, traición, asesinato, based on tv show, partitura famosa","acción, aventura, suspense",1996.0,Mission: Impossible,Brian De Palma,37
El proyecto de construir su propio parque de snowboard de este deportista de nieve se tuerce cuando una exnovia regresa a la ciudad.,"denali national park, referencia a Franklin D Roosevelt, comedia sexual, big breasts, scantily clad female","comedia, deporte",2002.0,Pirados por la nieve,Brendan Malloy,38
Un juguete de hombre orquesta de hojalata trata de escapar de un bebé destructivo.,"registro nacional de películas, no music during end credits, juguete, bebé, sofá","animación, corto, familiar",1988.0,Tin Toy,John Lasseter,39
"Dos historias alternas, una comedia y otra tragedia, sobre los intentos de Melinda de enderezar su vida.","forenames as title, character names as title, cena social, fiesta, actor","comedia, drama, romance",2004.0,Melinda y Melinda,Woody Allen,40
"Cinco amigos, todos casados, comparten un loft para encontrarse con sus amantes. Un día encuentran el cuerpo de una joven en el loft. Solo hay cinco llaves, y los cinco hombres comienzan a sospechar mutuamente de asesinato.","clothed female naked male scene, female full frontal nudity, female rear nudity, loft, friend","crimen, drama, misterio",2008.0,Loft,Erik Van Looy,41
"Christy Brown, nacido con parálisis cerebral, aprende a pintar y escribir con su única extremidad controlable - su pie izquierdo.","silla de ruedas, british renaissance, versión más joven del personaje, discapacidad, pickaxe","biografía, drama",1990.0,Mi pie izquierdo,Jim Sheridan,42
Walker y su compañero Trivette son rangers de Texas. Se dedican a combatir el crimen en Dallas y en todo el estado de Texas.,"vietnam war veteran, cordell walker character, Texas, ranger de Texas, cowboy","acción, aventura, crimen",1995.0,"Walker, Texas Ranger",,43
"Un sarcástico pato humanoide es arrastrado desde su mundo natal a la Tierra, donde debe detener una invasión alienígena con la ayuda de un científico empollón y una cantante de rock en apuros.","braguitas rojas, sexo interrumpido, braguitas, braguitas blancas, pato","acción, aventura, comedia",1986.0,Howard... un nuevo héroe,Willard Huyck,44
"Steven Spurrier, dueño de una tienda de vinos, asiste a un concurso de cata de vinos en Napa Valley.","vino, peto, neumático desinflado, aeropuerto, blowing out a tire","comedia, drama",2008.0,Guerra de vinos,Randall Miller,45
"Tras la muerte de su hermana y su cuñado en un accidente de coche, una joven se convierte en la tutora de sus tres hijos.","girl in school uniform, knee socks, título de dos palabras, amor, fashion show","comedia, drama, romance",2004.0,Mamá a la fuerza,Garry Marshall,46
Un adolescente decide pasar una noche en la ciudad con sus amigos a pesar de reprobar su examen de conducir.,"Los Ángeles California, driving test, teenage boy, teenage girl, película adolescente",comedia,1988.0,Papá Cadillac,Greg Beeman,47
El rey Leónidas de Esparta y una fuerza de 300 hombres luchan contra los persas en las Termópilas en el año 480 a. C.,"spartan, batalla, warrior, Grecia, battle of thermopylae","acción, drama",2007.0,300,Zack Snyder,48
Una popular porrista de la escuela secundaria queda embarazada del mariscal de campo y recurre al crimen para apoyar su estilo de vida deseado.,"generation y, título dirigido por una mujer, teensploitation, título de tres palabras, ampersand en el título","comedia, crimen",2001.0,Ingenuas y peligrosas,Francine McDougall,49
"Un caballo salvaje es capturado por humanos y pierde lentamente la voluntad de resistirse al entrenamiento, sin embargo, a lo largo de su lucha por la libertad, se niega a abandonar la esperanza de algún día regresar a su manada.","horse, animal capture, siglo XIX, libertad, cowboy","animación, aventura, drama",2002.0,Spirit: El corcel indomable,Kelly Asbury,50
El trompetista de jazz Bleek Gilliam toma decisiones discutibles sobre su vida profesional y romántica.,"jazz, african american, jazz player, ciudad de Nueva York, pianista","drama, música, romance",1990.0,"Cuanto más, ¡mejor!",Spike Lee,51
Un hombre que vive en trance en su onírica imaginación se enamora de una mujer y siente que puede enseñarle su universo singular.,"sueño, dream world, neighbor, relación novio-novia, giant hand","comedia, drama, fantasía",2007.0,La ciencia del sueño,Michel Gondry,52
"Cuando un viejo enemigo, los Cylons, resurge y destruye las 12 colonias, la tripulación de la antigua Galáctica protege a una pequeña flota civil -la última de la humanidad- en su viaje hacia la legendaria 13ª colonia, la Tierra.","humano en el espacio exterior, nuclear weapon, totalitarismo, profecía, ópera espacial","acción, aventura, drama",2005.0,"Galáctica, estrella de combate",,53
Las desavenencias familiares aparecen en el lado sur de Glasgow cuando un joven asiático entabla una relación con una mujer irlandesa.,"blonde, británico, british asian, beso interracial, interracial sex","drama, romance",2005.0,Un beso,Ken Loach,54
Dos hombres son despedidos y tienen que convertirse en amos de casa al no poder encontrar trabajo. Esto los inspira a abrir su propia guardería.,"laid off, breakfast cereal, male protagonist, dejar un trabajo, sabotaje","comedia, familiar",2003.0,Papá Canguro,Steve Carr,55
"Norbit es un hombre apacible que está casado con Rasputia, una bocazas malhumorada, con sobrepeso y dominante. Cuando su amor de la infancia, Kate, regresa a la ciudad, debe encontrar la manera de ganarse su amor.","character name as title, man wears eyeglasses, woman hits a man, paramount, splash","comedia, romance",2007.0,Norbit,Brian Robbins,56
"Los miembros de una cooperativa agrícola ven sus sueños de compensación desvanecerse al descubrir que Irimiás, un compañero al que creían muerto, ha vuelto al pueblo.","Hungría, contemplative cinema, toma larga, dead cat, child suicide",drama,1994.0,Sátántangó,Béla Tarr,57
"Blade forma una incómoda alianza con el consejo de vampiros para combatir a los reapers, que se alimentan de vampiros.","black superhero, human vampire hybrid, infected vampire, vampiro, vampire versus vampire","acción, terror, ciencia ficción",2002.0,Blade II,Guillermo del Toro,58
"Tres adolescentes descubren que la casa de su vecino es realmente un monstruo viviente, que respira y da miedo.","three friends, halloween, casa encantada, muerte de esposa, uvula","animación, comedia, familiar",2006.0,Monster House,Gil Kenan,59
"""Del genero de comedia de American Pie. Un estudiante de ultimo año de preparatoria trata de convertirse en el primer estudiante en años en completar las """"Obras Sucias"""", una serie de pruebas locas con tiempo limite de 12 horas, ant","hot, sexy, voyeur, braguitas negras, braguitas rosas",comedia,2006.0,Dirty Deeds,David Kendall,60
"En 1984, el periodista británico Arthur Stuart investiga la carrera de la superestrella glamorosa de los años setenta Brian Slade, que fue influenciado en sus primeros años por el duro y rebelde cantante estadounidense Curt Wild.","homosexualidad, homoerotismo, broach, male wearing makeup, recovering drug addict","drama, música",1999.0,Velvet Goldmine,Todd Haynes,61
"Tres actores aceptan una invitación a un pueblo mexicano para realizar sus roles de luchadores bandidos en pantalla, sin saber que es real.","child with a gun, two gun holster, gun holster, holster, double gun holster","comedia, del oeste",1987.0,Tres amigos,John Landis,62
"Cheech y Chong le cuidan la casa a un cultivador de marihuana y se arrancan con la cosecha. Al huir de la policía, se encuentran con una serie de personajes en Los Ángeles mucho más raros que ellos.","cheech and chong, marihuana, asian american, chicano, outrageous comedy","comedia, crimen",1981.0,Vendemos chocolate,Tommy Chong,63
"Después de un extraño accidente aéreo, un virus se adentra en una localidad agrícola tradicional. Una pareja joven en cuarentena lucha por sobrevivir, no sin algo de ayuda.","sheriff, segundo al mando, auto-sacrificio, casa en llamas, granero","terror, misterio, suspense",2010.0,The Crazies,Breck Eisner,64
Un entrenador con una historia de éxitos y fracasos y un bebedor local entrenan al equipo de básquet de un instituto para competir en una importante competición.,"instituto, baloncesto, alcoholic, coach, pueblo","drama, deporte",1987.0,Hoosiers: más que ídolos,David Anspaugh,65
"Varias personas de diversos contextos se enfrentan a la tensión racial, la violación, la responsabilidad y el significado de la educación en un campus universitario.","racismo, lesbian, enfado, escena sexual, destroying a room","crimen, drama, suspense",1995.0,Semillas de rencor,John Singleton,66
La tripulación de una nave espacial de rescate se enfrenta a horrores proyectados por su propia imaginación.,"killer worm, astronave, stripped naked, graphic violence, killed by monster","acción, aventura, terror",,La galaxia del terror,Bruce D. Clark,67
"Un detective retirado acepta una tarea simple, sin darse cuenta de que desgarrará heridas viejas y olvidadas, pero mortales.","bare breasts, pechos, female frontal nudity, female nudity, nude swimming","crimen, drama, misterio",1998.0,Al caer el sol,Robert Benton,68
"Una familia de superhéroes encubiertos, mientras intentan vivir la tranquila vida suburbana, se ven obligados a entrar en acción para salvar el mundo.","superhero family, superhéroe, non comic book superhero, identidad secreta, animación CGI","animación, acción, aventura",2004.0,Los Increíbles,Brad Bird,69
Una chica de 15 años provoca el caos entre sus amigos y un frenesí mediático cuando acusa a su profesor de teatro de acoso sexual.,"lesbian, escuela privada, beso entre mujeres, lesbian sex, lesbianismo","comedia, drama",2006.0,Dulce persuasión,Marcos Siega,70
Un grupo de caballeros de fortuna visita una legendaria Ciudad Perdida en el Tibet con un plan para robar la preciada estatua del Dragón de Oro durante un torneo de artes marciales.,"artes marciales, kickboxing, underground tournament, siam, torneo de artes marciales","acción, aventura, drama",1996.0,The Quest (En busca de la ciudad perdida),Jean-Claude Van Damme,71
"Un estudiante de bachillerato que necesita dinero accede a ""cuidar"" a un ciego, pero el trabajo no es en absoluto lo que él esperaba.","blind character, escuela privada, tango, philogyny, loss of eyesight",drama,1993.0,Esencia de mujer,Martin Brest,72
"La vida de Chris, una antigua estrella del deporte en el instituto, da un trágico giro tras un accidente de coche. Cuando consigue trabajo en un banco como recepcionista, una banda de criminales intenta reclutarlo para dar un golpe.","female nudity, amnesia, sexo, sexo sin compromiso, seducción","crimen, drama, suspense",2007.0,The Lookout,Scott Frank,73
Un pequeño promotor cinematográfico estrena una película de terror desagradable durante la crisis de los misiles cubanos.,"película dentro de una película, cine, prólogo, escena durante crédito de apertura, boy","comedia, drama",1993.0,Matinee,Joe Dante,74
"Un innovador drama gay para adultos que narra la vida de Stuart y Vince, así como la de Nathan, de 15 años, que está enamorado de Stuart.","gay, relación novio-novio, manchester england, adolescente gay, gay kiss",drama,2020.0,Queer as Folk,,75
"Cuando un tímido novio practica sus votos matrimoniales ante la presencia inadvertida de una joven fallecida, esta se levanta de la tumba asumiendo que la ha tomado por esposa.","gothic horror, horror for children, bride, cadáver, matrimonio concertado","animación, drama, familiar",2005.0,La novia cadáver,Tim Burton,76
"En 1978, cuatro adolescentes rebeldes intentan entrar en un concierto de KISS.","vómitos, escena sexual, swede, garage band, ticket scalper","comedia, música",2000.0,Cero en conducta,Adam Rifkin,77
Tres artistas en apuros intentan llevar unas vidas apacibles en París a pesar de los reveses y las tragedias.,"pintando, reference to charles baudelaire, reference to paul verlaine, reference to arthur rimbaud, reference to honore de balzac","comedia, drama, romance",1992.0,La vida de bohemia,Aki Kaurismäki,78
"Un joven ve a una linda mujer borracha parada demasiado cerca de las vías en una estación de metro en Seúl y la detiene. Ella termina metiéndolo en problemas repetidamente después de eso, comenzando en el tren.","Corea del Sur, relación novio-novia, wild girl, time capsule, ends with freeze frame","comedia, drama, romance",2001.0,My Sassy Girl,Jae-young Kwak,79
Dos guardias de seguridad que no coinciden se juntan para detener una operación de contrabando.,"departamento de policía de Los Ángeles, lapd, ex con, relaciones raciales, dirty cop","acción, comedia, crimen",2003.0,Seguridad nacional,Dennis Dugan,80
"Sigue las aventuras de Monkey D. Luffy y su tripulación de piratas para encontrar el mayor tesoro jamás dejado por el legendario pirata Gold Roger, el famoso tesoro misterioso llamado One Piece.","pirata, anime, tesoro, navigator, doctor","animación, acción, aventura",2003.0,One Piece,,81
Un probador de videojuegos de treinta y cinco años tiene que mudarse con su abuela y sus dos compañeras de cuarto.,"female nudity, male rear nudity, stoner comedy, gender in title, sex with an older woman",comedia,2006.0,Play Boy: el rey del mando,Nicholaus Goossen,82
Un ladrón que logra su último gran robo está a punto de ser capturado por el agente del F.B.I que le prometió que lo haría.,"diamante, one last job, agente del FBI, thief, cat and mouse","acción, comedia, crimen",2005.0,El gran golpe,Brett Ratner,83
"Cuatro años después de su graduación, un tímido genio de instituto ve por fin la oportunidad de intentar ligar con la chica que siempre fue su amor platónico.","escena sexual, relación hermano hermana, reference to guns n' roses, comedia negra, white boy raps","comedia, drama, romance",2011.0,Llévame a casa nena,Michael Dowse,84
Leo sale de la cárcel tras cumplir su condena por el robo de un coche. Su plan de ir por el buen camino se viene abajo cuando se encuentra con su tío corrupto y con un viejo amigo. Todo culmina en el patio (de maniobras).,"female nudity, corrupción, millennium, timeframe 2000s, desnudez trasera masculina completa","crimen, drama, romance",2001.0,La otra cara del crimen,James Gray,85
"Spin-off de la serie Anatomía de Grey, centrado en la vida de la cirujana neonatal Addison Montgomery.","título de dos palabras, medical, guantes de latex, máscara médica, dental mask","comedia, drama, romance",2008.0,Sin cita previa,,86
"La pandilla de Misterios S.A. debe salvar a la ciudad de un ataque de sus monstruos del pasado, traídos a la vida por una malvada figura enmascarada que intenta acabar con la banda.","monstruo, female martial artist, personaje femenino empoderado, liderazgo femenino, team spirit","aventura, comedia, familiar",2004.0,Scooby-Doo 2: Desatado,Raja Gosnell,87
"Juega duro, come rápido, ríe a carcajadas, y no te canses de perseguir la última descarga de adrenalina. Conoce un grupo de amigos ferozmente leales y sedientos de nuevas experiencias.","Nickelodeon, children's program, alivio cómico, surf, extreme sports","animación, corto, acción",1999.0,Rocket Power,,88
"Hace décadas, el legendario James Brown vendió su alma al diablo por fama y fortuna. Ahora desea renegociar. Contratado para llevarlo a una cita con el diablo, el conductor pronto se ve envuelto en planes diabólicos.","serie web, trans am, pontiac, firebird, the hire","acción, corto, aventura",2002.0,Beat the Devil,Tony Scott,89
"Un policía de Detroit, que investiga un asesinato, se encuentra tratando con la mentalidad muy diferente de Beverly Hills.","arrojado por una ventana, muerte de amigo, brutalidad policial, asesinato, beverly hills california","acción, comedia, crimen",1985.0,Superdetective en Hollywood,Martin Brest,90
"Sigue las aventuras de Aang, un joven sucesor de un largo linaje de avatares, que debe dominar los cuatro elementos y evitar que la Nación del Fuego esclavice a las Tribus del Agua y al Reino Tierra.","live action adaptation, based on animation, based on cartoon, poder supernatural, handheld weapon","acción, aventura, familiar",2010.0,Airbender: El último guerrero,M. Night Shyamalan,91
"Un exgánster judío de la época de la Ley seca regresa al Lower East Side de Manhattan más de treinta años después, donde una vez más debe enfrentarse a los fantasmas y arrepentimientos de su antigua vida.","corrupción policial, gángster, prohibición, escena sexual, female rear nudity","crimen, drama",1985.0,Érase una vez en América,Sergio Leone,92
"Disfruta de las fiestas navideñas con Mickey, Donald, Goofy y todos sus amigos. En este clásico navideño con un nuevo toque divertido de Disney, Scrooge descubre el verdadero sentido de estas fiestas.","ebenezer scrooge character, reference to ebenezer scrooge, animal character name in title, daisy duck character, minnie mouse character","animación, corto, comedia",1983.0,Una Navidad con Mickey,Burny Mattinson,93
"Durante un ejercicio de rutina, un equipo de la Guardia Nacional es amenazado por habitantes de la zona, quienes están enfadados y son violentos.","colgando, choque cultural, national guard soldier, linchamiento, xenofobia","acción, suspense",1981.0,La presa,Walter Hill,94
"Un año después del funeral de su padre, tres hermanos viajan a través de India en tren para intentar conectar unos con otros.","tren, India, viaje, reconciliación, viaje en tren","aventura, comedia, drama",2008.0,Viaje a Darjeeling,Wes Anderson,95
Un brote de zombis se propaga en un club de striptease de Nebraska.,"zombi, estriper, cristiano, película de culto, bisexual","comedia, terror, ciencia ficción",2008.0,Zombie Strippers,Jay Lee,96
Un jugador de béisbol estrella se convierte en el foco malsano de un vendedor con mala suerte.,"obsesión, locura, psicópata, béisbol, salesman","acción, drama, deporte",1996.0,Fanático,Tony Scott,97
Dos buenos amigos que se ganan la vida como estafadores en las calles de Portland emprenden un viaje de autodescubrimiento y ven cómo se daña su relación en el camino.,"male hustler, narcolepsy, homoerotic friendship, portland oregon, shakespeare's henry iv",drama,1992.0,Mi Idaho privado,Gus Van Sant,98
"Los primeros años de James Logan, su rivalidad con su hermano Victor Creed, su servicio en el equipo de fuerzas especiales Equipo X y su transformación en el mutante Lobezno.","bien contra mal, self healing, deflecting bullets with sword, comando, guerra civil","acción, ciencia ficción",2009.0,X-Men orígenes: Lobezno,Gavin Hood,99
"Un trabajador de una fábrica recientemente despedido secuestra a la hija del amigo de su ex jefe, con la esperanza de usar el dinero del rescate para pagar el trasplante de riñón de su hermana.","venganza, lenguaje de señas, tortura, three act structure, suicidio","crimen, drama, suspense",2002.0,Sympathy for Mr. Vengeance,Park Chan-wook,100
"Un estafador y un joven obsesionado con las abducciones extraterrestres se cruzan, juntos descubren una verdad horrible y liberadora.","gay male prostitute, male hustler, loss of innocence, relación entre hombre y chico, homosexual rape",drama,2005.0,Mysterious Skin,Gregg Araki,101
La culpa de una mujer sobreviviente de un evento traumático hace veinte años hace que su idílica vida actual se derrumbe.,"best friend, bikini, sex talk, relación hombre mayor mujer joven, teacher student relationship","drama, fantasía, misterio",2009.0,La vida ante sus ojos,Vadim Perelman,102
Un ingenuo joven mormón es contratado para actuar en películas porno.,"mormón, sátira, adult filmmaking, industria porno, película independiente",comedia,1999.0,Orgazmo,Trey Parker,103
Un príncipe egoísta es condenado a convertirse en un monstruo para el resto de su vida a menos que consiga enamorarse de una hermosa joven a la que mantiene presa.,"rosa, castillo, Francia, prince, transformación","animación, familiar, fantasía",1992.0,La bella y la bestia,Gary Trousdale,104
La vida laboral y personal de dos amigos y exitosos cirujanos plásticos de Miami y luego Los Ángeles.,"sangre, plastic surgeon, Miami,  Florida, amistad, cirugía",drama,2004.0,"Nip/Tuck, a golpe de bisturí",,105
Las vidas de varios individuos se entrelazan mientras cada uno vive a su propia manera su desesperada búsqueda de conexiones humanas.,"comedia negra, infelicidad, familia disfuncional, vecindario, sátira social","comedia, drama",1998.0,Happiness,Todd Solondz,106
"A finales del siglo XIX, una comunidad estríctamente religiosa en un pueblo danés acoge a un refugiado de la guerra franco-prusiana.","cocina, feast, relación madre hijo, piano, gourmet",drama,1987.0,El festín de Babette,Gabriel Axel,107
"Tras matar a una joven, Angela Baker asume su identidad y viaja al campamento Nuevos Horizontes, construido sobre el campamento al que aterrorizó el año pasado, y empieza a matar de nuevo.","female serial killer, acampar, escena sexual, desnudez pública, female nudity","comedia, terror",2016.0,Campamento sangriento 3,Michael A. Simpson,108
"El alter ego de la estrella de los Looney Tunes, el Pato Lucas, es el semiheroico, aunque incompetente, capitán espacial Duck Dodgers.","pato, siglo XXIV, pato de dibujos animados, futuro, cartoon network","animación, corto, acción",2003.0,Duck Dodgers,,109
"Bret Maverick, que necesita dinero para un torneo de póker, se enfrenta a varios percances y retos, entre ellos una encantadora ladrona.","yosemite national park, character name as title, playing card, bow the weapon, flecha","acción, aventura, comedia",1994.0,Maverick,Richard Donner,110
